srm,picture,PSNR,outlier,appm,picture,PSNR,outlier,srm(origin),picture,PSNR,outlier
,Baboon,36.06112443,64,,Baboon,36.12621477,12,,Baboon,36.04086511,102
,house,36.04056512,508,,house,36.14591409,561,,house,36.15277581,468
,Jet,35.98370275,270,,Jet,36.06575764,257,,Jet,35.84095994,176
,Lena,36.02221728,1,,Lena,36.07771391,1,,Lena,35.99652835,0
,Peppers,35.74482489,11294,,Peppers,35.95051887,8621,,Peppers,35.82366188,9945
,Sailboat,36.02376889,749,,Sailboat,36.1866832,797,,Sailboat,36.02483104,750
,Splash,36.10594298,7429,,Splash,36.12429908,7570,,Splash,35.88265399,8357
,Tiffany,33.53447557,20475,,Tiffany,33.16879619,20310,,Tiffany,34.10577375,16733
